PROBEID	SYMBOL	logFC	P.Value	adj.P.Val
208494_at	SLC6A7	-0.458498861	1.37E-14	1.77E-13
203143_s_at	KIAA0040	1.092721966	1.37E-14	1.78E-13
213553_x_at	APOC1	1.281345926	1.38E-14	1.79E-13
223331_s_at	DDX20	0.675470568	1.39E-14	1.80E-13
207342_at	CNGB1	-0.414887878	1.39E-14	1.80E-13
212046_x_at	MAPK3	-0.582893458	1.40E-14	1.81E-13
230531_at	KCNC3	-0.719801668	1.40E-14	1.81E-13
210169_at	SEC14L5	-1.840602034	1.40E-14	1.81E-13
213342_at	YAP1	1.350492062	1.41E-14	1.81E-13
222895_s_at	BCL11B	-1.343135641	1.42E-14	1.83E-13
223413_s_at	LYAR	0.831376089	1.43E-14	1.85E-13
213102_at	ACTR3	0.767029202	1.43E-14	1.85E-13
222122_s_at	THOC2	0.910014644	1.44E-14	1.85E-13
227251_at	DCAF5	-0.79560195	1.44E-14	1.85E-13
203819_s_at	IGF2BP3	2.563484249	1.44E-14	1.86E-13
222978_at	SURF4	0.928345735	1.45E-14	1.86E-13
230972_at	ANKRD9	-0.968602894	1.45E-14	1.86E-13
243792_x_at	PTPN13	1.10932836	1.45E-14	1.86E-13
209990_s_at	GABBR2	-2.774954944	1.45E-14	1.87E-13
206045_s_at	NOL4	-0.982669938	1.46E-14	1.87E-13
216272_x_at	SYDE1	0.548140034	1.47E-14	1.89E-13
224915_x_at	ZFAS1	0.859853272	1.47E-14	1.89E-13
201722_s_at	GALNT1	1.054831935	1.48E-14	1.90E-13
225768_at	NR1D2	-1.064321607	1.48E-14	1.90E-13
219134_at	ADGRL4	1.64345907	1.48E-14	1.90E-13
229267_at	ANAPC1	-0.631030634	1.48E-14	1.90E-13
200823_x_at	RPL29	0.909715219	1.48E-14	1.90E-13
1555267_at	GRID1	-0.548635329	1.49E-14	1.91E-13
228928_x_at	BANP	0.724467404	1.49E-14	1.92E-13
203022_at	RNASEH2A	1.127745597	1.50E-14	1.93E-13
225353_s_at	C1QC	2.041226771	1.51E-14	1.94E-13
239377_at	EIF1AD	0.689462237	1.52E-14	1.95E-13
209914_s_at	NRXN1	-1.894375792	1.55E-14	1.98E-13
200024_at	RPS5	0.701102515	1.55E-14	1.98E-13
221732_at	CANT1	0.710435609	1.55E-14	1.99E-13
223297_at	AMMECR1L	0.811969056	1.56E-14	2.00E-13
223429_x_at	ISY1	0.574754115	1.56E-14	2.00E-13
1559033_at	LINC01018	-0.536021847	1.56E-14	2.00E-13
222918_at	RAB9B	-1.167324063	1.56E-14	2.00E-13
201050_at	PLD3	-1.15740173	1.58E-14	2.02E-13
207707_s_at	SEC13	0.759793142	1.58E-14	2.03E-13
201755_at	MCM5	0.945822276	1.58E-14	2.03E-13
213801_x_at	RPSA	0.568123647	1.58E-14	2.03E-13
219613_s_at	SIRT6	0.386049681	1.58E-14	2.03E-13
227449_at	EPHA4	-1.904633115	1.59E-14	2.04E-13
1564339_a_at	CHRM3	-1.280753328	1.60E-14	2.04E-13
212062_at	ATP9A	-1.193465538	1.60E-14	2.04E-13
209912_s_at	AP5Z1	0.744696013	1.62E-14	2.07E-13
214315_x_at	CALR	0.820759165	1.62E-14	2.07E-13
217999_s_at	PHLDA1	2.172683487	1.62E-14	2.07E-13
219024_at	PLEKHA1	-1.068016481	1.63E-14	2.09E-13
219691_at	SAMD9	0.991060233	1.64E-14	2.10E-13
1561403_at	SOHLH1	-0.423042613	1.65E-14	2.10E-13
1559026_at	PPP1R26-AS1	-0.396751075	1.65E-14	2.11E-13
218537_at	HCFC1R1	-0.483927368	1.68E-14	2.14E-13
204454_at	LDOC1	-1.347701387	1.69E-14	2.16E-13
218625_at	NRN1	-1.625141329	1.69E-14	2.16E-13
1556121_at	NAP1L1	-1.423106691	1.69E-14	2.16E-13
228360_at	LYPD6B	-0.402649363	1.71E-14	2.18E-13
219666_at	MS4A6A	1.904185384	1.71E-14	2.18E-13
209515_s_at	RAB27A	1.191902536	1.71E-14	2.18E-13
202567_at	SNRPD3	0.704414542	1.72E-14	2.19E-13
204611_s_at	PPP2R5B	-0.561235437	1.72E-14	2.19E-13
230104_s_at	TPPP	-2.877997933	1.73E-14	2.21E-13
217867_x_at	BACE2	1.109313785	1.74E-14	2.21E-13
214661_s_at	NOP14	0.550099007	1.74E-14	2.21E-13
236302_at	PPM1E	-1.505375814	1.74E-14	2.21E-13
218014_at	NUP85	1.03247469	1.74E-14	2.21E-13
216640_s_at	PDIA6	1.301706151	1.76E-14	2.23E-13
219689_at	SEMA3G	-0.744821035	1.76E-14	2.23E-13
224921_at	SCAMP2	0.559237899	1.76E-14	2.24E-13
222182_s_at	CNOT2	1.192626497	1.76E-14	2.24E-13
209035_at	MDK	1.689425574	1.76E-14	2.24E-13
200697_at	HK1	-0.784862277	1.77E-14	2.24E-13
221677_s_at	DONSON	1.102590799	1.77E-14	2.24E-13
238166_s_at	LINC02693	-0.474378473	1.78E-14	2.26E-13
231025_at	SYT7	-0.605639094	1.80E-14	2.29E-13
1560697_at	TRHDE-AS1	-0.553315165	1.81E-14	2.29E-13
209845_at	MKRN1	-0.939989782	1.81E-14	2.30E-13
230288_at	FGF14	-1.515145001	1.82E-14	2.31E-13
221730_at	COL5A2	2.287689016	1.82E-14	2.31E-13
210714_at	R3HDM1	-0.623034282	1.83E-14	2.31E-13
202816_s_at	SS18	1.230280756	1.83E-14	2.32E-13
206544_x_at	SMARCA2	-1.016486831	1.84E-14	2.32E-13
204573_at	CROT	0.900495772	1.84E-14	2.33E-13
202887_s_at	DDIT4	1.715545147	1.84E-14	2.33E-13
228070_at	PPP2R5E	-0.63276019	1.85E-14	2.33E-13
232145_at	C2orf68	1.072558301	1.86E-14	2.35E-13
218121_at	HMOX2	-0.484593359	1.88E-14	2.37E-13
215422_at	MARCHF6	-0.507557601	1.88E-14	2.38E-13
224433_s_at	DDX54	-0.435441209	1.89E-14	2.38E-13
208898_at	ATP6V1D	-0.951789732	1.90E-14	2.39E-13
221691_x_at	NPM1	0.585631194	1.90E-14	2.39E-13
203679_at	TMED1	0.58238848	1.90E-14	2.39E-13
229015_at	NIPSNAP3B	-0.679988321	1.90E-14	2.40E-13
1566402_at	SNORA68	-0.444384254	1.90E-14	2.40E-13
227778_at	MROH1	-0.640210556	1.90E-14	2.40E-13
207543_s_at	P4HA1	1.115128244	1.92E-14	2.41E-13
225037_at	SLC35H1	0.683226405	1.92E-14	2.42E-13
208392_x_at	SP110	0.624964407	1.93E-14	2.43E-13
224378_x_at	MAP1LC3A	-0.908388149	1.93E-14	2.43E-13
218399_s_at	CDCA4	0.709268951	1.94E-14	2.44E-13
1557729_at	GRK5	-0.430541633	1.95E-14	2.46E-13
229921_at	KIF5A	-2.303003037	1.96E-14	2.46E-13
223557_s_at	TMEFF2	-3.131377362	1.96E-14	2.47E-13
202403_s_at	COL1A2	2.810234684	1.96E-14	2.47E-13
1555009_a_at	SYNJ2	-0.775911929	1.96E-14	2.47E-13
211013_x_at	PML	0.457823162	1.96E-14	2.47E-13
221892_at	H6PD	0.691112229	1.96E-14	2.47E-13
201260_s_at	SYPL1	1.107641593	1.98E-14	2.48E-13
225704_at	FBRSL1	-0.91622937	1.98E-14	2.49E-13
204244_s_at	DBF4	1.702244454	1.99E-14	2.50E-13
228142_at	UQCR10	-0.864252689	2.02E-14	2.54E-13
1569426_at	LINC01664	-0.386566068	2.02E-14	2.54E-13
223120_at	FUCA2	0.914504882	2.03E-14	2.55E-13
224552_s_at	KCNK4	-0.448242198	2.03E-14	2.55E-13
235880_at	SRRM3	-0.620503848	2.05E-14	2.57E-13
221514_at	UTP14A	0.724895557	2.06E-14	2.59E-13
205181_at	ZSCAN9	0.514655554	2.07E-14	2.59E-13
230070_at	CNIH2	-0.705156518	2.07E-14	2.59E-13
223501_at	TNFSF13B	1.533732193	2.08E-14	2.61E-13
232531_at	EMX2OS	-1.167703865	2.09E-14	2.62E-13
206248_at	PRKCE	-0.58116534	2.09E-14	2.62E-13
205559_s_at	PCSK5	1.178031556	2.10E-14	2.63E-13
227833_s_at	MBD6	1.496834102	2.11E-14	2.64E-13
207093_s_at	OMG	-2.177767627	2.12E-14	2.66E-13
224484_s_at	BRMS1L	-1.017644341	2.14E-14	2.68E-13
220563_s_at	SHANK1	-0.417392563	2.16E-14	2.70E-13
221227_x_at	COQ3	-0.446799417	2.16E-14	2.70E-13
204070_at	PLAAT4	1.671890713	2.17E-14	2.71E-13
202546_at	VAMP8	1.890111184	2.17E-14	2.71E-13
200694_s_at	DDX24	-0.786422582	2.17E-14	2.72E-13
230230_at	PTPN4	-0.820489048	2.17E-14	2.72E-13
214686_at	ZNF266	0.757212876	2.18E-14	2.73E-13
221754_s_at	CORO1B	0.583117284	2.19E-14	2.74E-13
206949_s_at	RUSC1	-0.664319932	2.19E-14	2.74E-13
212110_at	SLC39A14	1.55456257	2.21E-14	2.76E-13
209642_at	BUB1	1.677049629	2.21E-14	2.76E-13
237094_at	TAFA5	-1.612513992	2.21E-14	2.76E-13
222148_s_at	RHOT1	-0.596746667	2.22E-14	2.77E-13
1552628_a_at	HERPUD2	0.853104704	2.23E-14	2.78E-13
225612_s_at	B3GNT5	1.372742863	2.23E-14	2.78E-13
228974_at	ZNF677	1.374987303	2.24E-14	2.79E-13
218973_at	EFL1	0.664887725	2.24E-14	2.80E-13
242328_at	RAB3C	-0.349582544	2.25E-14	2.80E-13
222199_s_at	BIN3	0.545459177	2.28E-14	2.84E-13
221063_x_at	RNF123	-0.393355383	2.28E-14	2.84E-13
200816_s_at	PAFAH1B1	-0.928578022	2.31E-14	2.88E-13
224690_at	FAM210B	0.936207093	2.33E-14	2.91E-13
228967_at	EIF1	-1.067791451	2.35E-14	2.93E-13
235236_at	INSYN2B	-1.377390665	2.37E-14	2.95E-13
205194_at	PSPH	1.54785447	2.37E-14	2.95E-13
201760_s_at	WSB2	-0.844389488	2.37E-14	2.95E-13
218912_at	GCC1	0.568492229	2.39E-14	2.98E-13
1556319_at	TRIM44	-0.572820793	2.39E-14	2.98E-13
218847_at	IGF2BP2	1.748568196	2.40E-14	2.98E-13
228308_at	FKBP11	-0.567001443	2.42E-14	3.00E-13
203276_at	LMNB1	1.914379022	2.42E-14	3.00E-13
228403_at	ENHO	-1.223080887	2.43E-14	3.02E-13
208690_s_at	PDLIM1	1.853919247	2.44E-14	3.03E-13
225723_at	CCDC167	0.739065434	2.44E-14	3.03E-13
209333_at	ULK1	-0.580473549	2.44E-14	3.03E-13
227997_at	IL17RD	1.472711047	2.44E-14	3.03E-13
209485_s_at	OSBPL1A	-1.542077197	2.47E-14	3.06E-13
211207_s_at	ACSL6	-1.492826369	2.48E-14	3.08E-13
210616_s_at	SEC31A	0.626777731	2.50E-14	3.10E-13
202763_at	CASP3	1.230477679	2.51E-14	3.11E-13
219918_s_at	ASPM	2.412571258	2.53E-14	3.14E-13
231914_at	NUDT14	-0.812457679	2.55E-14	3.16E-13
200712_s_at	MAPRE1	1.107622818	2.55E-14	3.16E-13
201723_s_at	GALNT1	0.711052537	2.59E-14	3.20E-13
241980_at	MAP6	-0.391121094	2.59E-14	3.21E-13
235747_at	SLC25A16	-0.954898627	2.61E-14	3.23E-13
213892_s_at	APRT	0.812117016	2.63E-14	3.26E-13
204804_at	TRIM21	0.611127839	2.64E-14	3.26E-13
216915_s_at	PTPN12	1.684949648	2.64E-14	3.27E-13
231599_x_at	DPF1	-0.604997844	2.65E-14	3.28E-13
221619_s_at	MTCH1	-0.739753139	2.66E-14	3.29E-13
227279_at	TCEAL3	-0.841855367	2.66E-14	3.29E-13
218740_s_at	CDK5RAP3	0.869422361	2.69E-14	3.32E-13
221605_s_at	PIPOX	1.333160013	2.71E-14	3.35E-13
217738_at	NAMPT	1.804908413	2.72E-14	3.36E-13
228608_at	NALCN	-2.360040554	2.72E-14	3.36E-13
219978_s_at	NUSAP1	1.651513797	2.72E-14	3.36E-13
242313_at	MAP4K3-DT	-0.525236768	2.73E-14	3.37E-13
218478_s_at	ZCCHC8	0.97739482	2.73E-14	3.37E-13
226752_at	FAM174A	-1.017618725	2.74E-14	3.38E-13
202695_s_at	STK17A	1.264976878	2.74E-14	3.38E-13
213118_at	BLTP3B	-0.915392902	2.75E-14	3.39E-13
202074_s_at	OPTN	-0.782533981	2.77E-14	3.41E-13
232062_at	ADCY1	-0.605793767	2.77E-14	3.42E-13
225466_at	PATL1	0.688837075	2.79E-14	3.43E-13
214271_x_at	RPL12	0.826795855	2.79E-14	3.44E-13
227144_at	KIAA0930	-1.09157302	2.82E-14	3.47E-13
212149_at	EFR3A	-0.847351326	2.82E-14	3.47E-13
210859_x_at	CLN3	0.690301186	2.83E-14	3.49E-13
212242_at	TUBA4A	-1.433724372	2.83E-14	3.49E-13
34031_i_at	KRIT1	0.882318133	2.84E-14	3.50E-13
213256_at	MARCHF3	1.167924621	2.85E-14	3.50E-13
202625_at	LYN	1.289619211	2.85E-14	3.50E-13
201980_s_at	RSU1	1.143629177	2.86E-14	3.51E-13
238844_s_at	NPHP1	0.683004949	2.88E-14	3.54E-13
212785_s_at	LARP7	0.615055278	2.88E-14	3.54E-13
202377_at	LEPROT	0.819362983	2.89E-14	3.55E-13
202458_at	PRSS23	2.11661351	2.90E-14	3.56E-13
212421_at	KIAA0930	-0.922101489	2.92E-14	3.59E-13
218830_at	RPL26L1	0.813251349	2.93E-14	3.59E-13
217919_s_at	MRPL42	0.907737724	2.93E-14	3.60E-13
204962_s_at	CENPA	1.759329946	2.96E-14	3.63E-13
202439_s_at	IDS	-1.247917653	2.97E-14	3.64E-13
220647_s_at	COA4	0.667601078	3.01E-14	3.69E-13
200913_at	PPM1G	0.569459408	3.01E-14	3.69E-13
218873_at	GON4L	0.517689955	3.02E-14	3.69E-13
210213_s_at	EIF6	0.69902255	3.04E-14	3.72E-13
216916_s_at	DLGAP2	-0.375598639	3.04E-14	3.73E-13
223307_at	CDCA3	0.975933456	3.06E-14	3.75E-13
200052_s_at	ILF2	0.962202943	3.07E-14	3.76E-13
1553611_s_at	KLHL35	-0.538981824	3.11E-14	3.81E-13
209975_at	CYP2E1	-0.672953381	3.15E-14	3.85E-13
225900_at	EXOC6B	-0.940201203	3.15E-14	3.86E-13
222034_at	RACK1	0.949827294	3.17E-14	3.88E-13
224821_at	ABHD14B	0.76469682	3.18E-14	3.89E-13
206245_s_at	IVNS1ABP	0.912791446	3.19E-14	3.90E-13
235890_at	TBL1XR1	-0.957083039	3.21E-14	3.92E-13
227185_at	FNDC10	-0.746074661	3.21E-14	3.92E-13
227284_at	ZNF766	0.760312429	3.22E-14	3.93E-13
227775_at	CELF6	-1.243812262	3.26E-14	3.97E-13
202134_s_at	WWTR1	0.689011664	3.26E-14	3.98E-13
212418_at	ELF1	1.056336307	3.30E-14	4.02E-13
204521_at	FAM216A	-0.866990039	3.30E-14	4.02E-13
1554797_at	SYT16	-0.380175851	3.31E-14	4.04E-13
219382_at	SERTAD3	0.621875563	3.35E-14	4.08E-13
205157_s_at	KRT17	-0.569863065	3.35E-14	4.08E-13
218474_s_at	KCTD5	0.762336817	3.36E-14	4.09E-13
230933_at	DSTN	-0.45575784	3.36E-14	4.09E-13
220775_s_at	UEVLD	0.911969565	3.37E-14	4.10E-13
228547_at	NRXN1	-2.736301859	3.37E-14	4.10E-13
227235_at	GUCY1A1	-1.920556265	3.39E-14	4.12E-13
203195_s_at	NUP98	0.665380223	3.39E-14	4.13E-13
219270_at	CHAC1	-0.46358953	3.41E-14	4.14E-13
1556633_at	SNHG28	-0.791297658	3.41E-14	4.15E-13
218366_x_at	METTL17	0.691526038	3.43E-14	4.17E-13
210389_x_at	TUBD1	0.798561109	3.45E-14	4.19E-13
1553420_at	SATB2-AS1	-0.471032015	3.46E-14	4.21E-13
203889_at	SCG5	-2.071102674	3.47E-14	4.21E-13
212347_x_at	MXD4	0.653836096	3.47E-14	4.21E-13
219734_at	SIDT1	-1.297435647	3.48E-14	4.23E-13
227692_at	GNAI1	-2.291533778	3.48E-14	4.23E-13
217992_s_at	EFHD2	-1.044846135	3.49E-14	4.24E-13
202591_s_at	SSBP1	0.897470752	3.54E-14	4.29E-13
237450_at	SMIM32	-0.511854035	3.56E-14	4.31E-13
219703_at	MNS1	1.213525759	3.57E-14	4.32E-13
212408_at	TOR1AIP1	0.727559672	3.59E-14	4.35E-13
215811_at	SNCA	-0.792202661	3.59E-14	4.35E-13
221918_at	CDK17	-0.928488947	3.60E-14	4.36E-13
207767_s_at	EGR4	-0.961700344	3.60E-14	4.36E-13
227168_at	MIAT	-1.535079499	3.61E-14	4.37E-13
205230_at	RPH3A	-2.290612901	3.62E-14	4.38E-13
242530_at	SV2C	-1.040931486	3.62E-14	4.38E-13
202337_at	PMF1	0.475573057	3.64E-14	4.41E-13
226033_at	USP31	-0.806866304	3.65E-14	4.41E-13
236007_at	AKAP10	1.167914813	3.66E-14	4.43E-13
232652_x_at	SCAND1	0.747020752	3.68E-14	4.45E-13
219358_s_at	ADAP2	1.062362447	3.71E-14	4.48E-13
219240_s_at	C10orf88	-0.833774204	3.72E-14	4.50E-13
203096_s_at	RAPGEF2	-1.115270862	3.76E-14	4.54E-13
210423_s_at	SLC11A1	1.293373075	3.78E-14	4.56E-13
223555_at	GON4L	0.541015866	3.83E-14	4.62E-13
207181_s_at	CASP7	1.291687288	3.84E-14	4.63E-13
215743_at	NMT2	-0.709995812	3.84E-14	4.63E-13
1557042_at	KCNQ3	-0.592520621	3.84E-14	4.63E-13
205704_s_at	ATP6V0A2	0.994577156	3.85E-14	4.65E-13
224856_at	FKBP5	1.681366463	3.91E-14	4.72E-13
235508_at	PML	0.726323399	3.94E-14	4.75E-13
207800_at	AKAP5	-0.539103885	3.99E-14	4.80E-13
200676_s_at	UBE2L3	-0.79895787	3.99E-14	4.81E-13
210092_at	MAGOH	0.94672803	4.00E-14	4.82E-13
206080_at	PLCH2	-0.693935879	4.00E-14	4.82E-13
201864_at	GDI1	-0.583488518	4.02E-14	4.84E-13
1554079_at	GALNT18	-0.984763777	4.05E-14	4.88E-13
238906_s_at	RHOJ	1.486520617	4.06E-14	4.89E-13
203484_at	SEC61G	1.83091734	4.07E-14	4.89E-13
219571_s_at	ZNF12	0.911250203	4.09E-14	4.93E-13
211367_s_at	CASP1	1.44723726	4.11E-14	4.95E-13
207628_s_at	BUD23	0.842175419	4.12E-14	4.96E-13
221489_s_at	SPRY4	1.546874318	4.13E-14	4.96E-13
226131_s_at	RPS16	0.443123323	4.14E-14	4.97E-13
211776_s_at	EPB41L3	-2.211639601	4.15E-14	4.98E-13
201317_s_at	PSMA2	0.950794314	4.16E-14	4.99E-13
219496_at	SOWAHC	1.330090981	4.17E-14	5.01E-13
227133_at	FAM199X	1.108229228	4.19E-14	5.03E-13
242086_at	SPATA6	1.235304381	4.19E-14	5.03E-13
219523_s_at	TENM3	-1.401860288	4.19E-14	5.03E-13
228240_at	AGAP1	-1.075347262	4.21E-14	5.05E-13
223389_s_at	ZNF581	0.46342821	4.21E-14	5.05E-13
203769_s_at	STS	-0.77085015	4.22E-14	5.05E-13
210278_s_at	AP4S1	-1.002534993	4.22E-14	5.05E-13
209700_x_at	PDE4DIP	-1.79131242	4.28E-14	5.13E-13
217747_s_at	RPS9	0.840365141	4.28E-14	5.13E-13
210414_at	FLRT1	-0.710165603	4.28E-14	5.13E-13
229980_s_at	SNX5	0.747157187	4.32E-14	5.17E-13
204523_at	ZNF140	0.778390418	4.32E-14	5.18E-13
229256_at	PGM2L1	-1.77972984	4.33E-14	5.18E-13
207198_s_at	LIMS1	1.213737524	4.33E-14	5.18E-13
209935_at	ATP2C1	-1.229938841	4.33E-14	5.18E-13
228826_at	TSPOAP1-AS1	-0.524247955	4.34E-14	5.19E-13
204687_at	PARM1	-0.717049167	4.34E-14	5.19E-13
223434_at	GBP3	2.633537195	4.36E-14	5.21E-13
210277_at	AP4S1	-0.555334905	4.39E-14	5.25E-13
210627_s_at	MOGS	0.641154596	4.39E-14	5.25E-13
233888_s_at	SRGAP1	0.978498035	4.42E-14	5.28E-13
1559388_a_at	LYNX1	-0.615851897	4.44E-14	5.31E-13
227471_at	HACE1	-0.895470948	4.46E-14	5.33E-13
219626_at	MAP7D3	0.430210616	4.47E-14	5.33E-13
203894_at	TUBG2	-0.888505657	4.47E-14	5.33E-13
229304_s_at	CENPU	0.801437229	4.52E-14	5.39E-13
217855_x_at	SDF4	0.617495736	4.53E-14	5.41E-13
213456_at	SOSTDC1	-1.316509048	4.54E-14	5.41E-13
206584_at	LY96	2.281373736	4.55E-14	5.42E-13
204083_s_at	TPM2	1.945077524	4.60E-14	5.48E-13
220933_s_at	TUT7	0.756280157	4.62E-14	5.51E-13
204076_at	ENTPD4	-0.872555554	4.68E-14	5.57E-13
35147_at	MCF2L	-1.110401148	4.68E-14	5.57E-13
227802_at	RUFY3	0.872200855	4.70E-14	5.59E-13
203129_s_at	KIF5C	-1.84490631	4.76E-14	5.66E-13
213391_at	DPY19L4	1.21122257	4.77E-14	5.68E-13
219372_at	IFT81	0.975686276	4.79E-14	5.70E-13
223274_at	TCF19	0.912437965	4.80E-14	5.71E-13
222680_s_at	DTL	1.718001834	4.81E-14	5.72E-13
227313_at	CNPY4	0.659656468	4.83E-14	5.74E-13
228488_at	TBC1D16	0.709845565	4.84E-14	5.75E-13
209408_at	KIF2C	1.250128755	4.84E-14	5.76E-13
206281_at	ADCYAP1	-0.841273253	4.86E-14	5.77E-13
61874_at	CACFD1	0.3318213	4.92E-14	5.85E-13
213773_x_at	NSUN5	0.68431878	4.93E-14	5.85E-13
204527_at	MYO5A	-0.884600665	4.93E-14	5.85E-13
223988_x_at	METTL17	0.654706957	4.94E-14	5.86E-13
228788_at	YPEL1	-1.397570407	4.94E-14	5.86E-13
237169_at	TNC	1.074337336	4.99E-14	5.93E-13
225169_at	INTS4	0.447491169	5.04E-14	5.98E-13
228194_s_at	SORCS1	-1.658240597	5.04E-14	5.98E-13
210124_x_at	SEMA4F	-0.562110107	5.04E-14	5.98E-13
201125_s_at	ITGB5	0.873397292	5.05E-14	5.98E-13
228406_at	SMYD1	-0.439674313	5.06E-14	6.00E-13
204716_at	CCDC6	-1.005019272	5.08E-14	6.02E-13
224911_s_at	DCBLD2	1.695821674	5.11E-14	6.05E-13
233461_x_at	ZNF226	0.782487945	5.15E-14	6.09E-13
204911_s_at	TRIM3	-0.602911955	5.15E-14	6.10E-13
218356_at	MRM2	0.713875106	5.16E-14	6.10E-13
218611_at	IER5	1.159600398	5.16E-14	6.11E-13
226850_at	SUMF1	1.001447765	5.21E-14	6.17E-13
41220_at	SEPTIN9	0.705851238	5.22E-14	6.18E-13
213459_at	RPL37A	0.850354655	5.23E-14	6.18E-13
212150_at	EFR3A	-1.10109406	5.26E-14	6.22E-13
213978_at	MTSS2	-0.476918128	5.26E-14	6.22E-13
222571_at	ST6GALNAC6	-0.723511956	5.27E-14	6.23E-13
202953_at	C1QB	2.372491745	5.28E-14	6.24E-13
219767_s_at	CRYZL1	-0.906221271	5.30E-14	6.26E-13
35846_at	THRA	-0.992962044	5.30E-14	6.26E-13
241627_x_at	ARHGEF40	0.893966333	5.34E-14	6.30E-13
223326_s_at	GOLGA2P10	0.754397539	5.34E-14	6.30E-13
220419_s_at	USP25	-0.726568294	5.36E-14	6.33E-13
226161_at	SLC30A6	0.66994201	5.37E-14	6.34E-13
200018_at	RPS13	0.391863628	5.39E-14	6.36E-13
224931_at	SLC41A3	-0.655510937	5.40E-14	6.37E-13
205255_x_at	TCF7	0.602545291	5.41E-14	6.37E-13
202589_at	TYMS	1.992288287	5.47E-14	6.45E-13
200946_x_at	GLUD1	-1.078929512	5.48E-14	6.45E-13
215027_at	RAPGEF3	-0.384989027	5.49E-14	6.47E-13
212895_s_at	ABR	-1.004752982	5.50E-14	6.47E-13
235561_at	TXNL1	-1.526836565	5.56E-14	6.54E-13
218525_s_at	HIF1AN	-0.454095212	5.57E-14	6.56E-13
224576_at	ERGIC1	1.07156347	5.61E-14	6.60E-13
213168_at	SP3	0.818627278	5.62E-14	6.61E-13
205709_s_at	CDS1	-1.86535575	5.62E-14	6.62E-13
231251_at	WIPF2	-0.859691957	5.64E-14	6.63E-13
201482_at	QSOX1	0.678818487	5.64E-14	6.64E-13
219642_s_at	PEX5L	-0.896864443	5.67E-14	6.66E-13
223436_s_at	TRPT1	0.497077005	5.67E-14	6.67E-13
203354_s_at	PSD3	-1.820998425	5.69E-14	6.69E-13
222912_at	ARRB1	-1.02867857	5.70E-14	6.69E-13
201297_s_at	MOB1A	1.132210046	5.74E-14	6.74E-13
226582_at	LINC02381	1.296582273	5.76E-14	6.77E-13
213006_at	CEBPD	1.648481204	5.78E-14	6.78E-13
220543_at	EPCIP	1.507895754	5.79E-14	6.79E-13
217736_s_at	EIF2AK1	0.651615586	5.79E-14	6.80E-13
209159_s_at	NDRG4	-1.689371571	5.80E-14	6.80E-13
1562713_a_at	NETO1	-1.159890887	5.84E-14	6.85E-13
225793_at	LIX1L	0.700275254	5.88E-14	6.90E-13
225002_s_at	SUMF2	0.695264356	5.90E-14	6.92E-13
223039_at	GUCD1	0.756125907	5.93E-14	6.96E-13
236142_at	PPIH	-0.477796933	5.94E-14	6.97E-13
225371_at	GLE1	0.716227314	5.97E-14	7.00E-13
209012_at	TRIO	1.441898953	5.99E-14	7.02E-13
240510_at	NBN	0.482886808	6.02E-14	7.05E-13
213649_at	SRSF7	0.832474816	6.02E-14	7.05E-13
214363_s_at	MATR3	-0.537661115	6.06E-14	7.09E-13
202872_at	ATP6V1C1	-1.038977661	6.14E-14	7.19E-13
201313_at	ENO2	-1.368109457	6.15E-14	7.20E-13
212171_x_at	VEGFA	2.017427909	6.18E-14	7.22E-13
232208_at	ISLR2	-0.619760663	6.19E-14	7.24E-13
218303_x_at	KRCC1	0.78908708	6.19E-14	7.24E-13
201242_s_at	ATP1B1	-1.737603865	6.19E-14	7.24E-13
210220_at	FZD2	1.314176282	6.22E-14	7.27E-13
225538_at	ZCCHC9	0.791905758	6.22E-14	7.27E-13
203818_s_at	SF3A3	0.650793267	6.22E-14	7.27E-13
207163_s_at	AKT1	0.656493054	6.23E-14	7.27E-13
228499_at	PFKFB4	0.776490348	6.24E-14	7.28E-13
203102_s_at	MGAT2	0.934568705	6.25E-14	7.29E-13
201328_at	ETS2	-1.176605596	6.25E-14	7.30E-13
217220_at	LOC100287387	-0.497613207	6.31E-14	7.36E-13
240011_at	TTBK2	-0.565634904	6.39E-14	7.44E-13
207120_at	ZNF667	-0.71776077	6.41E-14	7.47E-13
216262_s_at	TGIF2	0.732018433	6.42E-14	7.48E-13
203826_s_at	PITPNM1	-0.766306632	6.42E-14	7.48E-13
226550_at	SLC9A7	-0.976298171	6.47E-14	7.54E-13
226576_at	ARHGAP26	-1.363826531	6.48E-14	7.54E-13
226831_at	SLC25A46	-0.744157127	6.50E-14	7.57E-13
209970_x_at	CASP1	0.969318391	6.51E-14	7.58E-13
242592_at	GPR137C	-1.31056688	6.53E-14	7.60E-13
243337_at	FREM3	-1.296565144	6.57E-14	7.64E-13
226769_at	FIBIN	1.294619768	6.61E-14	7.69E-13
206550_s_at	NUP155	0.731031758	6.65E-14	7.73E-13
212459_x_at	SUCLG2	1.201350553	6.65E-14	7.73E-13
201655_s_at	HSPG2	1.24398177	6.72E-14	7.81E-13
229547_s_at	WNK2	-0.702532016	6.72E-14	7.81E-13
218256_s_at	NUP54	0.786077068	6.79E-14	7.89E-13
212132_at	LSM14A	0.822958526	6.82E-14	7.92E-13
218992_at	PLGRKT	0.824446653	6.82E-14	7.92E-13
221800_s_at	FAAP100	0.699045401	6.82E-14	7.92E-13
205390_s_at	ANK1	-0.528062494	6.89E-14	8.00E-13
